Date,CP,B9,Longwave_Rad_AVG,RAD_SOL,TEMP_MIN,Radiative_Dif_AVG,Radiative_Direct_AVG,PPFD,Longitude,B6,Latitude,RAIN,TDN_based_ADF,B5,B8A,GEMI
2022-06-02,5.425175171,3734.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.83860133,3629.0,-20.44709433,0.0,57.95038309,2493.0,3969.0,-4407509.173725588
2022-06-02,5.594600174,3734.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.83860133,3629.0,-20.44709433,0.0,58.01814277,2493.0,3969.0,-4407509.173725588
2022-06-02,5.936260378,3890.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.83874067,3505.0,-20.44635133,0.0,56.78438928,2517.0,3805.0,-3209177.9493757747
2022-06-02,6.014558985,3890.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.83874067,3505.0,-20.44635133,0.0,54.91068245,2517.0,3805.0,-3209177.9493757747
2022-06-02,5.766645524,3645.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.839228,3352.0,-20.44644167,0.0,56.80856683,2484.0,3618.0,-2463095.7529425304
2022-06-02,5.845264177,3645.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.839228,3352.0,-20.44644167,0.0,56.97572872,2484.0,3618.0,-2463095.7529425304
2022-06-02,2.705945433,3729.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.83908333,3599.0,-20.44707067,0.0,47.06351554,2533.0,4060.0,-5936017.777836716
2022-06-02,2.708648675,3729.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.83908333,3599.0,-20.44707067,0.0,47.145599,2533.0,4060.0,-5936017.777836716
2022-06-02,2.183589424,3719.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.839329,3618.0,-20.44699567,0.0,44.46956036,2474.0,4206.0,-4723685.904790141
2022-06-02,2.189040221,3719.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.839329,3618.0,-20.44699567,0.0,43.74818053,2474.0,4206.0,-4723685.904790141
2022-05-18,4.871028183,4135.0,280.20675736111104,17.63,18.3,35.20435131644441,328.9837507734972,419.6449525819363,-54.838422,3862.0,-20.446899,0.0,55.91948154,2374.0,4230.0,-6627481.189169895
2022-05-18,4.86132494,4135.0,280.20675736111104,17.63,18.3,35.20435131644441,328.9837507734972,419.6449525819363,-54.838422,3862.0,-20.446899,0.0,53.31943777,2374.0,4230.0,-6627481.189169895
2022-05-18,5.718676315,3786.0,280.20675736111104,17.63,18.3,35.20435131644441,328.9837507734972,419.6449525819363,-54.83885567,3314.0,-20.44601967,0.0,50.14325176,2395.0,3686.0,-3517170.145163348
2022-05-18,5.718676315,3786.0,280.20675736111104,17.63,18.3,35.20435131644441,328.9837507734972,419.6449525819363,-54.83885567,3314.0,-20.44601967,0.0,54.00406447,2395.0,3686.0,-3517170.145163348
2022-05-18,5.054008114,4322.0,280.20675736111104,17.63,18.3,35.20435131644441,328.9837507734972,419.6449525819363,-54.83854267,3941.0,-20.44621533,0.0,54.0007637,2372.0,4440.0,-6673890.996903616
2022-05-18,5.13346519,4322.0,280.20675736111104,17.63,18.3,35.20435131644441,328.9837507734972,419.6449525819363,-54.83854267,3941.0,-20.44621533,0.0,56.2033803,2372.0,4440.0,-6673890.996903616
2022-05-18,5.561901205,4001.0,280.20675736111104,17.63,18.3,35.20435131644441,328.9837507734972,419.6449525819363,-54.83898767,3479.0,-20.446813,0.0,51.09290674,2378.0,3894.0,-4245266.560255958
2022-05-18,5.542502447,4001.0,280.20675736111104,17.63,18.3,35.20435131644441,328.9837507734972,419.6449525819363,-54.83898767,3479.0,-20.446813,0.0,54.50627285,2378.0,3894.0,-4245266.560255958
