Date,CP,B9,B6,B5,SampleID,Longitude,B8A,TDN_based_ADF,B7,Latitude,Delta_days,B11,GEMI,EVI,B1,B4
2022-04-20,6.51203639,4324.0,3944.0,2326.0,47,-54.838897,4322.0,52.44791886,4235.0,-20.44633833,2,2923.0,-6882150.010846582,0.3661858616531951,1299.0,1556.0
2022-04-20,7.538986903,4386.0,3893.0,2306.0,48,-54.838811,4210.0,54.6374969,4176.0,-20.44671033,2,2866.0,-6468816.853734583,0.357022566520714,1311.0,1550.0
2022-04-20,7.271757344,4386.0,3893.0,2306.0,48,-54.838811,4210.0,55.23320331,4176.0,-20.44671033,2,2866.0,-6468816.853734583,0.357022566520714,1311.0,1550.0
2022-04-20,3.082142645,4220.0,3687.0,2124.0,49,-54.83924367,4374.0,44.98223209,4081.0,-20.44692733,2,2713.0,-6332182.838613641,0.3615091174409118,1356.0,1438.0
2022-04-20,3.16388557,4220.0,3687.0,2124.0,49,-54.83924367,4374.0,45.53597896,4081.0,-20.44692733,2,2713.0,-6332182.838613641,0.3615091174409118,1356.0,1438.0
2022-04-20,3.658248606,4215.0,3668.0,2139.0,50,-54.83911033,4331.0,48.65100318,4051.0,-20.446941,2,2716.0,-6107735.014032733,0.3572254335260115,1359.0,1420.0
2022-04-20,3.836273814,4215.0,3668.0,2139.0,50,-54.83911033,4331.0,51.62994532,4051.0,-20.446941,2,2716.0,-6107735.014032733,0.3572254335260115,1359.0,1420.0
2022-04-06,9.58697173,4034.0,3636.0,2204.0,51,-54.838854,3970.0,55.8207313,3946.0,-20.44615233,3,2932.0,-4754130.546514892,0.3114753161881476,1309.0,1566.0
2022-04-06,9.670904535,4034.0,3636.0,2204.0,51,-54.838854,3970.0,54.38994674,3946.0,-20.44615233,3,2932.0,-4754130.546514892,0.3114753161881476,1309.0,1566.0
2022-04-06,6.639711346,4017.0,3632.0,2210.0,52,-54.83932933,3984.0,54.53465595,3987.0,-20.44665567,3,2939.0,-5055280.910210092,0.3196963666344459,1321.0,1570.0
2022-04-06,6.11769724,4017.0,3632.0,2210.0,52,-54.83932933,3984.0,53.78200751,3987.0,-20.44665567,3,2939.0,-5055280.910210092,0.3196963666344459,1321.0,1570.0
2022-04-06,7.962381874,4034.0,3838.0,2224.0,53,-54.83899467,4357.0,60.28727268,4327.0,-20.44704667,3,2970.0,-6861171.376118913,0.3683665894315344,1369.0,1518.0
2022-04-06,8.135262155,4034.0,3838.0,2224.0,53,-54.83899467,4357.0,60.67244732,4327.0,-20.44704667,3,2970.0,-6861171.376118913,0.3683665894315344,1369.0,1518.0
2022-04-06,8.608928308,4082.0,3871.0,2228.0,54,-54.83874133,4245.0,58.81055681,4205.0,-20.447071,3,2974.0,-5887360.100262395,0.3453093698779821,1369.0,1513.0
2022-04-06,8.451011648,4082.0,3871.0,2228.0,54,-54.83874133,4245.0,57.32815206,4205.0,-20.447071,3,2974.0,-5887360.100262395,0.3453093698779821,1369.0,1513.0
2022-04-06,7.972521079,4171.0,3870.0,2241.0,55,-54.839704,4335.0,56.37384648,4235.0,-20.44656733,3,3051.0,-6829776.1522453725,0.3674362117242232,1300.0,1521.0
2022-04-06,7.891813573,4171.0,3870.0,2241.0,55,-54.839704,4335.0,57.11351203,4235.0,-20.44656733,3,3051.0,-6829776.1522453725,0.3674362117242232,1300.0,1521.0
2022-04-06,7.804520603,3987.0,3499.0,2182.0,56,-54.83924033,3872.0,59.92512136,3818.0,-20.44671567,3,2876.0,-3862811.33180982,0.283425790305281,1326.0,1581.0
2022-04-06,7.78506766,3987.0,3499.0,2182.0,56,-54.83924033,3872.0,60.01880931,3818.0,-20.44671567,3,2876.0,-3862811.33180982,0.283425790305281,1326.0,1581.0
2022-04-06,8.597778863,4129.0,3902.0,2214.0,57,-54.83974233,4362.0,53.65869286,4300.0,-20.44650433,3,3055.0,-7395035.085700852,0.3804323501767891,1296.0,1516.0
2022-04-06,8.767578658,4129.0,3902.0,2214.0,57,-54.83974233,4362.0,53.8609648,4300.0,-20.44650433,3,3055.0,-7395035.085700852,0.3804323501767891,1296.0,1516.0
2022-04-06,4.857827097,4017.0,3738.0,2120.0,58,-54.839105,4252.0,48.65361454,4112.0,-20.44705267,3,2891.0,-7405885.649845396,0.3903964201709597,1365.0,1385.0
2022-04-06,4.78858098,4017.0,3738.0,2120.0,58,-54.839105,4252.0,50.59093738,4112.0,-20.44705267,3,2891.0,-7405885.649845396,0.3903964201709597,1365.0,1385.0
2022-04-06,7.800289068,4246.0,3885.0,2186.0,59,-54.838734,4275.0,53.16082172,4257.0,-20.44613667,3,2911.0,-6073204.507418062,0.3500943053220015,1306.0,1511.0
2022-04-06,7.880248611,4246.0,3885.0,2186.0,59,-54.838734,4275.0,55.70141032,4257.0,-20.44613667,3,2911.0,-6073204.507418062,0.3500943053220015,1306.0,1511.0
2022-04-06,3.882340283,4025.0,3656.0,2133.0,60,-54.83909767,4215.0,42.25234896,4037.0,-20.447101,3,2990.0,-8164595.160330427,0.401598525130119,1371.0,1451.0
2022-04-06,3.785281776,4025.0,3656.0,2133.0,60,-54.83909767,4215.0,42.33528657,4037.0,-20.447101,3,2990.0,-8164595.160330427,0.401598525130119,1371.0,1451.0
2022-08-03,4.370941203,3469.0,3209.0,2740.0,61,-54.838977,3614.0,53.45224519,3389.0,-20.44698433,2,3652.0,-1339686.4179930163,0.1534522787265846,1438.0,2267.0
2022-08-03,4.368763355,3475.0,3229.0,2711.0,61,-54.83844733,3478.0,53.1967557,3431.0,-20.44684633,2,3706.0,-1286978.763216368,0.1477095262883914,1402.0,2375.0
2022-08-03,4.201980296,3412.0,3139.0,2671.0,62,-54.83904833,3395.0,52.30018893,3297.0,-20.44640333,2,3552.0,-1200010.846213519,0.1461910300598636,1397.0,2249.0
2022-08-03,4.278554882,3462.0,3081.0,2653.0,62,-54.83859467,3401.0,52.86403073,3267.0,-20.446358,2,3570.0,-998907.1398124348,0.1341705576128374,1391.0,2245.0
2022-08-03,3.908210472,3407.0,3105.0,2665.0,63,-54.83925533,3394.0,55.46456159,3232.0,-20.44625233,2,3568.0,-1021016.015203418,0.1350492108103486,1404.0,2266.0
2022-08-03,3.997033437,3406.0,3113.0,2670.0,63,-54.83917867,3380.0,53.11088562,3247.0,-20.446368,2,3550.0,-941783.4124246415,0.1293245820591776,1401.0,2294.0
2022-08-03,5.184525929,3490.0,3216.0,2721.0,64,-54.83947833,3552.0,55.234959,3408.0,-20.44671433,2,3777.0,-1346640.4894625875,0.1534107125868138,1408.0,2282.0
2022-08-03,5.097676234,3520.0,3189.0,2761.0,64,-54.83970767,3546.0,56.24841714,3375.0,-20.44668167,2,3888.0,-1070095.6605327749,0.1353762281959253,1405.0,2376.0
2022-08-03,4.66320803,3469.0,3209.0,2740.0,65,-54.83899567,3614.0,56.89049791,3389.0,-20.44697667,2,3652.0,-1339686.4179930163,0.1534522787265846,1438.0,2267.0
2022-08-03,4.753563942,3469.0,3209.0,2740.0,65,-54.83899567,3614.0,56.45272487,3389.0,-20.44697667,2,3652.0,-1339686.4179930163,0.1534522787265846,1438.0,2267.0
2022-08-03,4.255927401,3412.0,3139.0,2671.0,66,-54.83902033,3395.0,53.14119991,3297.0,-20.446394,2,3552.0,-1200010.846213519,0.1461910300598636,1397.0,2249.0
2022-08-03,4.357613312,3412.0,3139.0,2671.0,66,-54.83902033,3395.0,52.95361742,3297.0,-20.446394,2,3552.0,-1200010.846213519,0.1461910300598636,1397.0,2249.0
2022-08-03,5.076250965,3490.0,3216.0,2721.0,67,-54.83950333,3552.0,54.66282246,3408.0,-20.446715,2,3777.0,-1346640.4894625875,0.1534107125868138,1408.0,2282.0
2022-08-03,5.162731786,3490.0,3216.0,2721.0,67,-54.83950333,3552.0,54.62946915,3408.0,-20.446715,2,3777.0,-1346640.4894625875,0.1534107125868138,1408.0,2282.0
2022-08-03,1.783013546,3498.0,3239.0,2691.0,68,-54.83930567,3796.0,45.51545678,3487.0,-20.44704067,2,3760.0,-1453105.2877656508,0.1569249986987977,1451.0,2355.0
2022-08-03,1.690486959,3498.0,3239.0,2691.0,68,-54.83930567,3796.0,45.08127736,3487.0,-20.44704067,2,3760.0,-1453105.2877656508,0.1569249986987977,1451.0,2355.0
2022-08-03,2.230373848,3475.0,3196.0,2702.0,69,-54.839098,3644.0,45.54053307,3405.0,-20.446931,2,3689.0,-1417162.39200131,0.1588067757557655,1445.0,2223.0
2022-08-03,2.223709384,3475.0,3196.0,2702.0,69,-54.839098,3644.0,49.43708436,3405.0,-20.446931,2,3689.0,-1417162.39200131,0.1588067757557655,1445.0,2223.0
2022-08-24,5.003295388,5716.0,2641.0,2450.0,70,-54.83844733,2583.0,53.62957861,2695.0,-20.44684633,3,2738.0,-1293793.1455460188,0.1488406646298078,2235.0,2346.0
2022-08-24,4.916400454,5716.0,2641.0,2450.0,70,-54.83844733,2583.0,52.82765349,2695.0,-20.44684633,3,2738.0,-1293793.1455460188,0.1488406646298078,2235.0,2346.0
2022-08-24,5.826622929,7749.0,2991.0,2554.0,71,-54.83859467,3589.0,52.11225514,3407.0,-20.446358,3,3165.0,-391208.31694772793,0.0873872062896453,2844.0,2142.0
2022-08-24,6.002912647,7749.0,2991.0,2554.0,71,-54.83859467,3589.0,51.21145046,3407.0,-20.446358,3,3165.0,-391208.31694772793,0.0873872062896453,2844.0,2142.0
2022-08-24,5.088650711,7505.0,3190.0,2798.0,72,-54.83917867,3476.0,52.6861468,3383.0,-20.446368,3,3295.0,-473985.5639095682,0.0928411271370976,2794.0,2313.0
2022-08-24,5.014366771,7505.0,3190.0,2798.0,72,-54.83917867,3476.0,51.00433329,3383.0,-20.446368,3,3295.0,-473985.5639095682,0.0928411271370976,2794.0,2313.0
