Date,CP,B9,B6,B5,SampleID,Longitude,Latitude,TDN_based_ADF,B7,GEMI,B8A,B3,B1,EVI,B11,B4
2022-06-02,2.705945433,3729.0,3599.0,2533.0,31,-54.83908333,-20.44707067,47.06351554,3853.0,-5936017.777836716,4060.0,1777.0,1374.0,0.3357563266025924,3217.0,1679.0
2022-06-02,2.708648675,3729.0,3599.0,2533.0,31,-54.83908333,-20.44707067,47.145599,3853.0,-5936017.777836716,4060.0,1777.0,1374.0,0.3357563266025924,3217.0,1679.0
2022-06-02,2.183589424,3719.0,3618.0,2474.0,32,-54.839329,-20.44699567,44.46956036,3901.0,-4723685.904790141,4206.0,1772.0,1357.0,0.2990371389270976,3192.0,1765.0
2022-06-02,2.189040221,3719.0,3618.0,2474.0,32,-54.839329,-20.44699567,43.74818053,3901.0,-4723685.904790141,4206.0,1772.0,1357.0,0.2990371389270976,3192.0,1765.0
2022-05-18,4.871028183,4135.0,3862.0,2374.0,33,-54.838422,-20.446899,55.91948154,4171.0,-6627481.189169895,4230.0,1800.0,1303.0,0.3549295929956884,2985.0,1636.0
2022-05-18,4.86132494,4135.0,3862.0,2374.0,33,-54.838422,-20.446899,53.31943777,4171.0,-6627481.189169895,4230.0,1800.0,1303.0,0.3549295929956884,2985.0,1636.0
2022-05-18,5.718676315,3786.0,3314.0,2395.0,34,-54.83885567,-20.44601967,50.14325176,3544.0,-3517170.145163348,3686.0,1761.0,1295.0,0.2634002785640473,3174.0,1744.0
2022-05-18,5.718676315,3786.0,3314.0,2395.0,34,-54.83885567,-20.44601967,54.00406447,3544.0,-3517170.145163348,3686.0,1761.0,1295.0,0.2634002785640473,3174.0,1744.0
2022-05-18,5.054008114,4322.0,3941.0,2372.0,35,-54.83854267,-20.44621533,54.0007637,4302.0,-6673890.996903616,4440.0,1769.0,1284.0,0.3590883824346859,2932.0,1590.0
2022-05-18,5.13346519,4322.0,3941.0,2372.0,35,-54.83854267,-20.44621533,56.2033803,4302.0,-6673890.996903616,4440.0,1769.0,1284.0,0.3590883824346859,2932.0,1590.0
2022-05-18,5.561901205,4001.0,3479.0,2378.0,36,-54.83898767,-20.446813,51.09290674,3745.0,-4245266.560255958,3894.0,1749.0,1315.0,0.2898505884206026,2982.0,1681.0
2022-05-18,5.542502447,4001.0,3479.0,2378.0,36,-54.83898767,-20.446813,54.50627285,3745.0,-4245266.560255958,3894.0,1749.0,1315.0,0.2898505884206026,2982.0,1681.0
2022-05-18,2.685987956,3862.0,3570.0,2333.0,37,-54.83918867,-20.446996,51.26057131,3943.0,-4667333.8927181,4117.0,1800.0,1351.0,0.3027899834103035,3027.0,1671.0
2022-05-18,2.688668583,3862.0,3570.0,2333.0,37,-54.83918867,-20.446996,50.96179154,3943.0,-4667333.8927181,4117.0,1800.0,1351.0,0.3027899834103035,3027.0,1671.0
2022-05-18,2.593293788,3883.0,3488.0,2368.0,38,-54.83923167,-20.446863,46.73774633,3785.0,-4114430.347282897,3962.0,1807.0,1336.0,0.2851000449640288,3008.0,1695.0
2022-05-18,2.689111306,3883.0,3488.0,2368.0,38,-54.83923167,-20.446863,46.90717585,3785.0,-4114430.347282897,3962.0,1807.0,1336.0,0.2851000449640288,3008.0,1695.0
2022-06-22,4.708278463,6610.0,3028.0,2377.0,39,-54.838631,-20.44614667,49.44313569,3421.0,-1391078.5209287675,3785.0,1997.0,2633.0,0.1671691184804044,2724.0,1902.0
2022-06-22,4.795468805,6610.0,3028.0,2377.0,39,-54.838631,-20.44614667,47.8413243,3421.0,-1391078.5209287675,3785.0,1997.0,2633.0,0.1671691184804044,2724.0,1902.0
2022-06-22,5.360591292,5082.0,3416.0,3091.0,40,-54.838848,-20.44657867,51.22156003,3383.0,-113220.60053102132,3278.0,2514.0,2222.0,0.0425887919442731,3231.0,2778.0
