Date,TDN_based_ADF,Radiative_Dif_AVG,RAD_SOL,TEMP_MAX,PRES_ATM,TEMP_MIN,Radiative_Direct_AVG,TP_SFC_AVG,EVAPOT,GEMI,B1,Longitude,CP,LAI,Latitude,HUM_REL
2022-05-05,59.35026089,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-7736081.181775502,1285.0,-54.83967167,6.511340686,1.277242029387302,-20.44655833,55.70833333
2022-05-05,59.47771711,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-5186531.070118906,1275.0,-54.83883633,6.265799839,1.0442448979591834,-20.44616533,55.70833333
2022-05-05,54.46806161,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-5186531.070118906,1275.0,-54.83883633,6.268929609,1.0442448979591834,-20.44616533,55.70833333
2022-05-05,54.93019367,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-4315601.543476256,1288.0,-54.839142,6.080742916,0.9462502038412756,-20.44645667,55.70833333
2022-05-05,54.12077782,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-4315601.543476256,1288.0,-54.839142,6.074668248,0.9462502038412756,-20.44645667,55.70833333
2022-05-05,54.04713363,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-5255079.235805627,1275.0,-54.839544,5.806473042,1.0468909820044483,-20.44632333,55.70833333
2022-05-05,51.42073296,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-5255079.235805627,1275.0,-54.839544,5.715641212,1.0468909820044483,-20.44632333,55.70833333
2022-05-05,56.48945805,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-6377585.530305956,1296.0,-54.83930467,7.385197402,1.1604917295252588,-20.44663067,55.70833333
2022-05-05,53.17267835,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-6377585.530305956,1296.0,-54.83930467,7.385197402,1.1604917295252588,-20.44663067,55.70833333
2022-05-05,58.73142471,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-5761883.577289193,1277.0,-54.83855567,5.899621568,1.0992549184462752,-20.44637233,55.70833333
2022-05-05,60.29755294,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-5761883.577289193,1277.0,-54.83855567,5.887857617,1.0992549184462752,-20.44637233,55.70833333
2022-05-05,58.56210858,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-7548102.085158183,1316.0,-54.838707,6.353050887,1.2690810406598434,-20.44706367,55.70833333
2022-05-05,55.20215491,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-7548102.085158183,1316.0,-54.838707,6.353050887,1.2690810406598434,-20.44706367,55.70833333
2022-05-05,52.27533421,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-5255083.656423923,1339.0,-54.83922433,3.040877175,1.041135797639274,-20.44710133,55.70833333
2022-05-05,50.03009882,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-5255083.656423923,1339.0,-54.83922433,3.04694679,1.041135797639274,-20.44710133,55.70833333
2022-05-05,47.95161896,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-5970138.562321046,1316.0,-54.83930767,2.534837219,1.1457043388784085,-20.446902,55.70833333
2022-05-05,48.04153375,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-5970138.562321046,1316.0,-54.83930767,2.705597211,1.1457043388784085,-20.446902,55.70833333
2022-06-02,52.16173204,99.04042020517376,14.5,30.6,1012.7375,20.1,10.858879727653326,21.05472263888889,4.38,-4126621.009712011,1357.0,-54.83885933,4.971290278,0.8983370935633709,-20.44697833,48.95833333
2022-06-02,51.91894479,99.04042020517376,14.5,30.6,1012.7375,20.1,10.858879727653326,21.05472263888889,4.38,-4126621.009712011,1357.0,-54.83885933,5.153428538,0.8983370935633709,-20.44697833,48.95833333
2022-06-02,52.29991626,99.04042020517376,14.5,30.6,1012.7375,20.1,10.858879727653326,21.05472263888889,4.38,-4249395.487146078,1285.0,-54.838545,4.722079746,0.9209949194464871,-20.446366,48.95833333
2022-06-02,51.92080274,99.04042020517376,14.5,30.6,1012.7375,20.1,10.858879727653326,21.05472263888889,4.38,-4249395.487146078,1285.0,-54.838545,4.994371414,0.9209949194464871,-20.446366,48.95833333
2022-06-02,56.89019404,99.04042020517376,14.5,30.6,1012.7375,20.1,10.858879727653326,21.05472263888889,4.38,-3461147.9231516304,1320.0,-54.83948333,5.325789098,0.807638988177069,-20.44669467,48.95833333
2022-06-02,52.93481013,99.04042020517376,14.5,30.6,1012.7375,20.1,10.858879727653326,21.05472263888889,4.38,-3461147.9231516304,1320.0,-54.83948333,5.309867456,0.807638988177069,-20.44669467,48.95833333
2022-06-02,57.95038309,99.04042020517376,14.5,30.6,1012.7375,20.1,10.858879727653326,21.05472263888889,4.38,-4407509.173725588,1351.0,-54.83860133,5.425175171,0.9276302021403092,-20.44709433,48.95833333
2022-06-02,58.01814277,99.04042020517376,14.5,30.6,1012.7375,20.1,10.858879727653326,21.05472263888889,4.38,-4407509.173725588,1351.0,-54.83860133,5.594600174,0.9276302021403092,-20.44709433,48.95833333
