Date,TDN_based_ADF,NDWI,CP,GEMI,B1,Longitude,B6,B12,B8,Delta_days,DVI,EVI,Latitude,GCI,B8A,B11
2022-07-06,49.96751289,-0.0303497149899861,5.569296814,-1208778.7864584832,1314.0,-54.83876433,2897.0,2833.0,3083.0,4,1100.0,0.1541289751263857,-20.44631867,0.8438995215311005,3147.0,3344.0
2022-07-06,51.15011768,-0.0303497149899861,5.495982242,-1208778.7864584832,1314.0,-54.83876433,2897.0,2833.0,3083.0,4,1100.0,0.1541289751263857,-20.44631867,0.8438995215311005,3147.0,3344.0
2022-07-06,39.71977991,0.0168043292509256,2.184244027,-1815585.956319232,1355.0,-54.83930267,3068.0,2703.0,3374.0,4,1348.0,0.1847952446754842,-20.446936,0.865118850193477,3570.0,3452.0
2022-07-06,39.94216274,0.0168043292509256,2.097922179,-1815585.956319232,1355.0,-54.83930267,3068.0,2703.0,3374.0,4,1348.0,0.1847952446754842,-20.446936,0.865118850193477,3570.0,3452.0
2022-07-06,44.99006643,0.0092028882910944,2.51860294,-1683349.1834539694,1367.0,-54.83926867,3054.0,2710.0,3366.0,4,1298.0,0.1770399144534404,-20.447077,0.8403499179879717,3564.0,3499.0
2022-07-06,45.6389018,0.0092028882910944,2.517344268,-1683349.1834539694,1367.0,-54.83926867,3054.0,2710.0,3366.0,4,1298.0,0.1770399144534404,-20.447077,0.8403499179879717,3564.0,3499.0
2022-05-05,59.16877402,0.20469889278963,7.383236857,-7982764.445168112,1312.0,-54.83857533,4066.0,2044.0,4333.0,7,2826.0,0.3935977002529276,-20.44708767,1.4591373439273552,4461.0,2945.0
2022-05-05,54.298515,0.20469889278963,7.474862505,-7982764.445168112,1312.0,-54.83857533,4066.0,2044.0,4333.0,7,2826.0,0.3935977002529276,-20.44708767,1.4591373439273552,4461.0,2945.0
2022-05-05,58.96565064,0.1782567439338484,6.853040883,-7736081.181775502,1285.0,-54.83967167,3987.0,2125.0,4327.0,7,2782.0,0.3856390352093152,-20.44655833,1.4882116158711902,4346.0,3031.0
2022-05-05,59.35026089,0.1782567439338484,6.511340686,-7736081.181775502,1285.0,-54.83967167,3987.0,2125.0,4327.0,7,2782.0,0.3856390352093152,-20.44655833,1.4882116158711902,4346.0,3031.0
2022-05-05,59.47771711,0.1575654152445961,6.265799839,-5186531.070118906,1275.0,-54.83883633,3732.0,2134.0,3881.0,7,2278.0,0.3212396069538926,-20.44616533,1.259022118742724,4070.0,2962.0
2022-05-05,54.46806161,0.1575654152445961,6.268929609,-5186531.070118906,1275.0,-54.83883633,3732.0,2134.0,3881.0,7,2278.0,0.3212396069538926,-20.44616533,1.259022118742724,4070.0,2962.0
2022-05-05,54.93019367,0.1416247304097771,6.080742916,-4315601.543476256,1288.0,-54.839142,3667.0,2169.0,3720.0,7,2078.0,0.2941542851965936,-20.44645667,1.1856639247943597,3970.0,2985.0
2022-05-05,54.12077782,0.1416247304097771,6.074668248,-4315601.543476256,1288.0,-54.839142,3667.0,2169.0,3720.0,7,2078.0,0.2941542851965936,-20.44645667,1.1856639247943597,3970.0,2985.0
2022-05-05,54.04713363,0.1624579124579124,5.806473042,-5255079.235805627,1275.0,-54.839544,3784.0,2117.0,3914.0,7,2293.0,0.3219709734672328,-20.44632333,1.2585112521638775,4143.0,2985.0
2022-05-05,51.42073296,0.1624579124579124,5.715641212,-5255079.235805627,1275.0,-54.839544,3784.0,2117.0,3914.0,7,2293.0,0.3219709734672328,-20.44632333,1.2585112521638775,4143.0,2985.0
2022-05-05,56.48945805,0.1672268907563025,7.385197402,-6377585.530305956,1296.0,-54.83930467,3808.0,2147.0,4098.0,7,2526.0,0.3533697428206907,-20.44663067,1.3497706422018347,4167.0,2973.0
2022-05-05,53.17267835,0.1672268907563025,7.385197402,-6377585.530305956,1296.0,-54.83930467,3808.0,2147.0,4098.0,7,2526.0,0.3533697428206907,-20.44663067,1.3497706422018347,4167.0,2973.0
2022-05-05,58.73142471,0.1965531391054575,5.899621568,-5761883.577289193,1277.0,-54.83855567,3942.0,2065.0,4001.0,7,2401.0,0.3364441455075388,-20.44637233,1.294151376146789,4374.0,2937.0
