Date,CP,Longwave_Rad_AVG,TEMP_MIN,RAD_SOL,RAIN,SampleID,Longitude,TDN_based_ADF,WIND_SPD,Latitude,B9,B11,Radiative_Direct_AVG,B7,NDWI,Radiative_Dif_AVG
2022-05-05,2.534837219,340.90736451388904,22.7,17.25,0.0,24,-54.83930767,47.95161896,14.5,-20.446902,4087.0,2866.0,172.29668451737672,4076.0,0.1982095397957756,83.35255690060406
2022-05-05,2.705597211,340.90736451388904,22.7,17.25,0.0,24,-54.83930767,48.04153375,14.5,-20.446902,4087.0,2866.0,172.29668451737672,4076.0,0.1982095397957756,83.35255690060406
2022-06-02,4.971290278,388.3275890277778,20.1,14.5,0.0,25,-54.83885933,52.16173204,18.4,-20.44697833,3786.0,3178.0,10.858879727653326,3850.0,0.1214927436074637,99.04042020517376
2022-06-02,5.153428538,388.3275890277778,20.1,14.5,0.0,25,-54.83885933,51.91894479,18.4,-20.44697833,3786.0,3178.0,10.858879727653326,3850.0,0.1214927436074637,99.04042020517376
2022-06-02,4.722079746,388.3275890277778,20.1,14.5,0.0,26,-54.838545,52.29991626,18.4,-20.446366,4132.0,2995.0,10.858879727653326,4025.0,0.1638749302065885,99.04042020517376
2022-06-02,4.994371414,388.3275890277778,20.1,14.5,0.0,26,-54.838545,51.92080274,18.4,-20.446366,4132.0,2995.0,10.858879727653326,4025.0,0.1638749302065885,99.04042020517376
2022-06-02,5.325789098,388.3275890277778,20.1,14.5,0.0,27,-54.83948333,56.89019404,18.4,-20.44669467,3738.0,3307.0,10.858879727653326,3733.0,0.0748356413484403,99.04042020517376
2022-06-02,5.309867456,388.3275890277778,20.1,14.5,0.0,27,-54.83948333,52.93481013,18.4,-20.44669467,3738.0,3307.0,10.858879727653326,3733.0,0.0748356413484403,99.04042020517376
2022-06-02,5.425175171,388.3275890277778,20.1,14.5,0.0,28,-54.83860133,57.95038309,18.4,-20.44709433,3734.0,3161.0,10.858879727653326,3803.0,0.1133239831697054,99.04042020517376
2022-06-02,5.594600174,388.3275890277778,20.1,14.5,0.0,28,-54.83860133,58.01814277,18.4,-20.44709433,3734.0,3161.0,10.858879727653326,3803.0,0.1133239831697054,99.04042020517376
