Sample,Sub_Sample,Date_std,TEMP_MAX,TEMP_MIN,RAD_SOL,RAIN,WIND_SPD,EVAPOT,PRES_ATM,HUM_REL,TP_SFC_AVG,Wind_Dir,Dew_Point,Radiative_Dif_AVG,Radiative_Direct_AVG,PPFD,Longwave_Rad_AVG
83,2,2022-10-13,,,,,,,,,,,,,,,
84,1,2022-10-13,,,,,,,,,,,,,,,
84,2,2022-10-13,,,,,,,,,,,,,,,
85,1,2022-10-13,,,,,,,,,,,,,,,
85,2,2022-10-13,,,,,,,,,,,,,,,
86,1,2022-10-13,,,,,,,,,,,,,,,
86,2,2022-10-13,,,,,,,,,,,,,,,
87,1,2022-10-13,,,,,,,,,,,,,,,
87,2,2022-10-13,,,,,,,,,,,,,,,
88,1,2022-10-13,,,,,,,,,,,,,,,
88,2,2022-10-13,,,,,,,,,,,,,,,
89,1,2022-10-13,,,,,,,,,,,,,,,
89,2,2022-10-13,,,,,,,,,,,,,,,
90,1,2022-10-13,,,,,,,,,,,,,,,
90,2,2022-10-13,,,,,,,,,,,,,,,
91,1,2022-10-13,,,,,,,,,,,,,,,
91,2,2022-10-13,,,,,,,,,,,,,,,
92,1,2022-11-03,,,,,,,,,,,,,,,
92,2,2022-11-03,,,,,,,,,,,,,,,
93,1,2022-11-03,,,,,,,,,,,,,,,
93,2,2022-11-03,,,,,,,,,,,,,,,
94,1,2022-11-03,,,,,,,,,,,,,,,
94,2,2022-11-03,,,,,,,,,,,,,,,
95,1,2022-11-03,,,,,,,,,,,,,,,
95,2,2022-11-03,,,,,,,,,,,,,,,
96,1,2022-11-03,,,,,,,,,,,,,,,
96,2,2022-11-03,,,,,,,,,,,,,,,
97,1,2022-11-03,,,,,,,,,,,,,,,
97,2,2022-11-03,,,,,,,,,,,,,,,
98,1,2022-11-03,,,,,,,,,,,,,,,
98,2,2022-11-03,,,,,,,,,,,,,,,
99,1,2022-11-03,,,,,,,,,,,,,,,
99,2,2022-11-03,,,,,,,,,,,,,,,
100,1,2022-11-03,,,,,,,,,,,,,,,
100,2,2022-11-03,,,,,,,,,,,,,,,
101,1,2022-11-03,,,,,,,,,,,,,,,
101,2,2022-11-03,,,,,,,,,,,,,,,
102,1,2022-11-16,,,,,,,,,,,,,,,
102,2,2022-11-16,,,,,,,,,,,,,,,
103,1,2022-11-16,,,,,,,,,,,,,,,
103,2,2022-11-16,,,,,,,,,,,,,,,
104,1,2022-11-16,,,,,,,,,,,,,,,
104,2,2022-11-16,,,,,,,,,,,,,,,
105,1,2022-11-16,,,,,,,,,,,,,,,
105,2,2022-11-16,,,,,,,,,,,,,,,
106,1,2022-11-16,,,,,,,,,,,,,,,
106,2,2022-11-16,,,,,,,,,,,,,,,
107,1,2022-11-16,,,,,,,,,,,,,,,
107,2,2022-11-16,,,,,,,,,,,,,,,
108,1,2022-11-29,,,,,,,,,,,,,,,
108,2,2022-11-29,,,,,,,,,,,,,,,
109,1,2022-11-29,,,,,,,,,,,,,,,
109,2,2022-11-29,,,,,,,,,,,,,,,
110,1,2022-11-29,,,,,,,,,,,,,,,
110,2,2022-11-29,,,,,,,,,,,,,,,
111,1,2022-11-29,,,,,,,,,,,,,,,
111,2,2022-11-29,,,,,,,,,,,,,,,
112,1,2022-11-29,,,,,,,,,,,,,,,
112,2,2022-11-29,,,,,,,,,,,,,,,
113,1,2022-11-29,,,,,,,,,,,,,,,
113,2,2022-11-29,,,,,,,,,,,,,,,
114,1,2022-12-08,,,,,,,,,,,,,,,
114,2,2022-12-08,,,,,,,,,,,,,,,
115,1,2022-12-08,,,,,,,,,,,,,,,
115,2,2022-12-08,,,,,,,,,,,,,,,
116,1,2022-12-08,,,,,,,,,,,,,,,
116,2,2022-12-08,,,,,,,,,,,,,,,
117,1,2022-12-08,,,,,,,,,,,,,,,
117,2,2022-12-08,,,,,,,,,,,,,,,
118,1,2022-12-08,,,,,,,,,,,,,,,
118,2,2022-12-08,,,,,,,,,,,,,,,
119,1,2022-12-08,,,,,,,,,,,,,,,
119,2,2022-12-08,,,,,,,,,,,,,,,
120,1,2022-12-08,,,,,,,,,,,,,,,
120,2,2022-12-08,,,,,,,,,,,,,,,
121,1,2022-12-08,,,,,,,,,,,,,,,
121,2,2022-12-08,,,,,,,,,,,,,,,
122,1,2022-12-08,,,,,,,,,,,,,,,
122,2,2022-12-08,,,,,,,,,,,,,,,
123,1,2022-12-14,,,,,,,,,,,,,,,
123,2,2022-12-14,,,,,,,,,,,,,,,
124,1,2022-12-14,,,,,,,,,,,,,,,
124,2,2022-12-14,,,,,,,,,,,,,,,
125,1,2022-12-14,,,,,,,,,,,,,,,
125,2,2022-12-14,,,,,,,,,,,,,,,
126,1,2022-12-14,,,,,,,,,,,,,,,
126,2,2022-12-14,,,,,,,,,,,,,,,
127,1,2022-12-14,,,,,,,,,,,,,,,
127,2,2022-12-14,,,,,,,,,,,,,,,
128,1,2022-12-14,,,,,,,,,,,,,,,
128,2,2022-12-14,,,,,,,,,,,,,,,
129,1,2023-01-13,,,,,,,,,,,,,,,
129,2,2023-01-13,,,,,,,,,,,,,,,
130,1,2023-01-13,,,,,,,,,,,,,,,
130,2,2023-01-13,,,,,,,,,,,,,,,
131,1,2023-01-13,,,,,,,,,,,,,,,
131,2,2023-01-13,,,,,,,,,,,,,,,
132,1,2023-01-13,,,,,,,,,,,,,,,
132,2,2023-01-13,,,,,,,,,,,,,,,
133,1,2023-01-13,,,,,,,,,,,,,,,
133,2,2023-01-13,,,,,,,,,,,,,,,
134,1,2023-01-13,,,,,,,,,,,,,,,
134,2,2023-01-13,,,,,,,,,,,,,,,
135,1,2023-01-13,,,,,,,,,,,,,,,
135,2,2023-01-13,,,,,,,,,,,,,,,
136,1,2023-01-13,,,,,,,,,,,,,,,
136,2,2023-01-13,,,,,,,,,,,,,,,
137,1,2023-01-26,,,,,,,,,,,,,,,
137,2,2023-01-26,,,,,,,,,,,,,,,
138,1,2023-01-26,,,,,,,,,,,,,,,
138,2,2023-01-26,,,,,,,,,,,,,,,
139,1,2023-01-26,,,,,,,,,,,,,,,
139,2,2023-01-26,,,,,,,,,,,,,,,
140,1,2023-01-26,,,,,,,,,,,,,,,
140,2,2023-01-26,,,,,,,,,,,,,,,
141,1,2023-01-26,,,,,,,,,,,,,,,
141,2,2023-01-26,,,,,,,,,,,,,,,
142,1,2023-01-26,,,,,,,,,,,,,,,
142,2,2023-01-26,,,,,,,,,,,,,,,
143,1,2023-02-09,,,,,,,,,,,,,,,
143,2,2023-02-09,,,,,,,,,,,,,,,
144,1,2023-02-09,,,,,,,,,,,,,,,
144,2,2023-02-09,,,,,,,,,,,,,,,
145,1,2023-02-09,,,,,,,,,,,,,,,
145,2,2023-02-09,,,,,,,,,,,,,,,
146,1,2023-02-09,,,,,,,,,,,,,,,
146,2,2023-02-09,,,,,,,,,,,,,,,
