target,model,y_true,y_pred
CP,KAN_full_KFold,6.078251838684082,6.413160064688524
CP,KAN_full_KFold,10.270047187805176,9.876169318750978
CP,KAN_full_KFold,3.765958070755005,3.01803167839381
CP,KAN_full_KFold,3.2253658771514893,3.32495651817843
CP,KAN_full_KFold,6.439666748046875,5.961591866429952
CP,KAN_full_KFold,3.366581439971924,4.547408132298538
CP,KAN_full_KFold,7.284470081329346,7.5389833584949955
CP,KAN_full_KFold,9.040313720703125,8.861650413293592
CP,KAN_full_KFold,7.1168212890625,7.543511574248068
CP,KAN_full_KFold,3.102356195449829,2.8687458575751634
CP,KAN_full_KFold,3.189626932144165,3.027174301547649
CP,KAN_full_KFold,6.765042781829834,7.066214509655145
CP,KAN_full_KFold,3.862433671951294,4.10910285161016
CP,KAN_full_KFold,11.628894805908203,13.181767361289058
CP,KAN_full_KFold,11.854698181152344,12.821170474269888
CP,KAN_full_KFold,13.509004592895508,13.328594288306558
CP,KAN_full_KFold,11.097978591918945,11.221898295874517
CP,KAN_full_KFold,13.889847755432129,13.251896746923311
CP,KAN_full_KFold,10.756933212280273,10.045385632361436
CP,KAN_full_KFold,7.4195966720581055,7.637248122821305
CP,KAN_full_KFold,11.126144409179688,11.082258102950576
CP,KAN_full_KFold,8.190469741821289,7.803311263805943
CP,KAN_full_KFold,5.87359094619751,6.466518952436464
CP,KAN_full_KFold,5.569296836853027,5.063914327351491
CP,KAN_full_KFold,2.5173442363739014,2.372774171136733
CP,KAN_full_KFold,4.075037479400635,3.6341537507973825
CP,KAN_full_KFold,4.748523235321045,3.7847844078604567
CP,KAN_full_KFold,4.491753101348877,4.084433867244887
CP,KAN_full_KFold,3.8126091957092285,4.162941122818552
CP,KAN_full_KFold,6.85304069519043,7.6090616322130975
CP,KAN_full_KFold,6.511340618133545,6.836633399465896
CP,KAN_full_KFold,5.715641021728516,4.969769733556774
CP,KAN_full_KFold,5.594600200653076,5.325586432494845
CP,KAN_full_KFold,5.936260223388672,5.401234121254161
CP,KAN_full_KFold,5.845263957977295,4.965116633013753
CP,KAN_full_KFold,5.7186760902404785,4.798361076197999
CP,KAN_full_KFold,5.7186760902404785,5.405076130914452
CP,KAN_full_KFold,5.0540080070495605,4.284712191102155
CP,KAN_full_KFold,5.13346529006958,4.327555164367788
CP,KAN_full_KFold,2.685987949371338,2.867118859388091
CP,KAN_full_KFold,5.360591411590576,4.574434827544929
CP,KAN_full_KFold,5.3498969078063965,4.554361263101793
CP,KAN_full_KFold,2.5320491790771484,2.7242412642301552
CP,KAN_full_KFold,7.12457799911499,8.802804804588519
CP,KAN_full_KFold,6.6804327964782715,7.671422071150238
CP,KAN_full_KFold,3.0821425914764404,2.5156497864954632
CP,KAN_full_KFold,3.1638855934143066,2.475454575683921
CP,KAN_full_KFold,9.670904159545898,9.127814861255095
CP,KAN_full_KFold,7.785067558288574,8.7660265273534
CP,KAN_full_KFold,8.767579078674316,9.285537121051584
CP,KAN_full_KFold,3.8823401927948,3.188125111604939
CP,KAN_full_KFold,3.7852816581726074,2.753639670343494
CP,KAN_full_KFold,5.184525966644287,4.091913098749744
CP,KAN_full_KFold,2.2237093448638916,1.869471338664685
CP,KAN_full_KFold,5.82662296295166,6.360998199510691
CP,KAN_full_KFold,4.993727207183838,4.877669085765886
CP,KAN_full_KFold,2.6234121322631836,2.1304710545510637
CP,KAN_full_KFold,4.635479927062988,5.178188059548707
CP,KAN_full_KFold,4.52072811126709,4.463640521347527
CP,KAN_full_KFold,5.254616737365723,4.664938602569791
CP,KAN_full_KFold,6.409883975982666,6.189864097411746
CP,KAN_full_KFold,5.9615888595581055,6.365319286238903
CP,KAN_full_KFold,7.317059516906738,7.383512899860786
CP,KAN_full_KFold,11.28527545928955,11.321449306312644
CP,KAN_full_KFold,6.529754161834717,6.232075639414639
CP,KAN_full_KFold,7.142579555511475,6.727102283476775
CP,KAN_full_KFold,3.839783191680908,3.6946462865805603
CP,KAN_full_KFold,6.936485767364502,6.369074980967086
CP,KAN_full_KFold,6.692712783813477,6.676463719847378
CP,KAN_full_KFold,10.376465797424316,10.186976644786736
CP,KAN_full_KFold,3.5420033931732178,3.294810702119289
CP,KAN_full_KFold,6.72899866104126,6.748878416060539
CP,KAN_full_KFold,6.947032928466797,7.552819933491466
CP,KAN_full_KFold,5.539219856262207,6.721647458077589
CP,KAN_full_KFold,5.533699989318848,6.999099442259057
CP,KAN_full_KFold,5.448168754577637,5.22112824686187
CP,KAN_full_KFold,14.972553253173828,11.467540120370023
CP,KAN_full_KFold,11.211339950561523,11.339983877496454
CP,KAN_full_KFold,5.5855607986450195,4.636985304204217
CP,KAN_full_KFold,3.4474568367004395,3.8925663622175866
CP,KAN_full_KFold,8.364747047424316,7.2108287056578675
CP,KAN_full_KFold,11.408906936645508,11.213225767246074
CP,KAN_full_KFold,4.206732749938965,4.992513681183594
CP,KAN_full_KFold,5.3722662925720215,4.909859997505805
CP,KAN_full_KFold,7.72636604309082,7.929612734138314
CP,KAN_full_KFold,4.644871234893799,3.927157529016772
CP,KAN_full_KFold,2.18424391746521,1.890609112857784
CP,KAN_full_KFold,2.9191298484802246,2.1928317390826804
CP,KAN_full_KFold,7.383236885070801,6.954393523363891
CP,KAN_full_KFold,7.474862575531006,6.69133652029212
CP,KAN_full_KFold,6.0746684074401855,5.911593973709508
CP,KAN_full_KFold,7.385197639465332,7.413736402891729
CP,KAN_full_KFold,5.887857437133789,6.079003425512816
CP,KAN_full_KFold,4.99437141418457,5.640016577126407
CP,KAN_full_KFold,4.861324787139893,6.2896083008802375
CP,KAN_full_KFold,2.5932939052581787,2.5156516671690103
CP,KAN_full_KFold,4.905219078063965,4.568967702119093
CP,KAN_full_KFold,2.268784284591675,2.7041395957683143
CP,KAN_full_KFold,5.78311014175415,6.352277192265063
CP,KAN_full_KFold,7.271757125854492,7.485076917481676
CP,KAN_full_KFold,8.451011657714844,8.435991968879826
CP,KAN_full_KFold,8.597779273986816,8.221995051658963
CP,KAN_full_KFold,4.788580894470215,5.240087553314162
CP,KAN_full_KFold,7.880248546600342,8.634627302502407
CP,KAN_full_KFold,4.370941162109375,4.807705891253585
CP,KAN_full_KFold,5.0976762771606445,4.196137256598755
CP,KAN_full_KFold,4.75356388092041,4.379845593971665
CP,KAN_full_KFold,4.3576130867004395,3.7436252634709506
CP,KAN_full_KFold,5.076251029968262,4.311497183558862
CP,KAN_full_KFold,5.162731647491455,3.991980255368396
CP,KAN_full_KFold,2.2303738594055176,2.0199713252525333
CP,KAN_full_KFold,4.91640043258667,4.695349963110317
CP,KAN_full_KFold,5.088650703430176,5.51590337540592
CP,KAN_full_KFold,5.0829010009765625,5.191029286063992
CP,KAN_full_KFold,4.518474102020264,4.420103078914615
CP,KAN_full_KFold,5.156308650970459,5.2177322882557045
CP,KAN_full_KFold,2.349407911300659,2.6447713781240614
CP,KAN_full_KFold,7.432642936706543,6.9919786567923055
CP,KAN_full_KFold,7.209802627563477,7.36530218920544
CP,KAN_full_KFold,3.102118492126465,3.0838103391118215
CP,KAN_full_KFold,3.1875693798065186,3.335412194697268
CP,KAN_full_KFold,3.184182643890381,3.131981486566948
CP,KAN_full_KFold,6.245302677154541,5.8016574179842735
CP,KAN_full_KFold,6.7873311042785645,6.551100371950487
CP,KAN_full_KFold,6.7873311042785645,6.76906883168356
CP,KAN_full_KFold,7.012551784515381,7.060456395907133
CP,KAN_full_KFold,7.691689968109131,7.853492958630973
CP,KAN_full_KFold,3.764080762863159,3.8421750811047746
CP,KAN_full_KFold,6.260787010192871,6.93827266333874
CP,KAN_full_KFold,7.343752861022949,6.405478409041091
CP,KAN_full_KFold,7.358432769775391,6.431547497253886
CP,KAN_full_KFold,3.8185043334960938,4.084448670744623
CP,KAN_full_KFold,8.878789901733398,8.979336528006876
CP,KAN_full_KFold,7.206412315368652,8.495242362808028
CP,KAN_full_KFold,8.86746883392334,8.803057552461544
CP,KAN_full_KFold,8.845606803894043,8.66031570400688
CP,KAN_full_KFold,8.174209594726562,8.516685422915657
CP,KAN_full_KFold,6.59811544418335,7.080223191084542
CP,KAN_full_KFold,2.798811912536621,2.775596374061286
CP,KAN_full_KFold,11.242603302001953,7.949087245654389
CP,KAN_full_KFold,11.467455863952637,7.980425897568875
CP,KAN_full_KFold,4.490763187408447,4.401267846289047
CP,KAN_full_KFold,13.64173412322998,13.73985529666503
CP,KAN_full_KFold,11.175149917602539,11.387296932981666
CP,KAN_full_KFold,11.228464126586914,11.908752759709541
CP,KAN_full_KFold,5.148421764373779,5.840249662064794
CP,KAN_full_KFold,7.922138214111328,8.406280819329819
CP,KAN_full_KFold,4.6323628425598145,4.903030639266844
CP,KAN_full_KFold,5.006476402282715,5.073544334401923
CP,KAN_full_KFold,4.811648368835449,4.268213965852833
CP,KAN_full_KFold,5.4959821701049805,5.144958515877962
CP,KAN_full_KFold,2.5186028480529785,2.384782663930762
CP,KAN_full_KFold,4.074594020843506,4.039358831814054
CP,KAN_full_KFold,2.5744168758392334,2.7718660524750542
CP,KAN_full_KFold,6.2657999992370605,5.846696496515399
CP,KAN_full_KFold,5.806473255157471,6.672115267989284
CP,KAN_full_KFold,7.385197639465332,6.538529191055543
CP,KAN_full_KFold,5.899621486663818,6.259689548322761
CP,KAN_full_KFold,3.040877103805542,3.07221706366995
CP,KAN_full_KFold,2.708648681640625,2.8207552987267475
CP,KAN_full_KFold,2.183589458465576,2.321558665338647
CP,KAN_full_KFold,4.871027946472168,5.344896153944825
CP,KAN_full_KFold,5.561901092529297,4.529472651946586
CP,KAN_full_KFold,4.623732089996338,4.866990504218103
CP,KAN_full_KFold,3.6582486629486084,3.4301060746915053
