base,target,model,source,cv,r2,rmse,mae,file,variant
D7,TDN_based_ADF,mlp,clim,lodo,-3.1648028,8.025239,6.8098507,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_mlp_clim_lodo_fs15.csv,fs15
D7,TDN_based_ADF,mlp,noclim,lodo,-4.583181,8.993678,7.5159106,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_mlp_noclim_lodo_fs15.csv,fs15
D7,TDN_based_ADF,xgbnative,clim,lodo,0.3663539469773391,3.29664385941279,2.5935587387405312,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_xgbnative_clim_lodo_fs15.csv,fs15
D7,TDN_based_ADF,xgbnative,noclim,lodo,0.3379017425917904,3.4026971605281564,2.7526902151838133,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_xgbnative_noclim_lodo_fs15.csv,fs15
RAW,CP,hgb,clim,lodo,-0.13854522256697482,1.845149225210862,1.5856014071479945,/workspace/reports/exp02/exp02_RAW_CP_hgb_clim_lodo_fs15.csv,fs15
RAW,CP,hgb,noclim,lodo,-0.056823310508986244,1.7760619979944698,1.4818632721187954,/workspace/reports/exp02/exp02_RAW_CP_hgb_noclim_lodo_fs15.csv,fs15
RAW,CP,mlp,clim,lodo,0.30851442,1.5131696,1.2678133,/workspace/reports/exp02/exp02_RAW_CP_mlp_clim_lodo_fs15.csv,fs15
RAW,CP,mlp,noclim,lodo,0.2592338,1.5651727,1.265591,/workspace/reports/exp02/exp02_RAW_CP_mlp_noclim_lodo_fs15.csv,fs15
RAW,CP,xgbnative,clim,lodo,0.2964941330577439,1.481566095527175,1.2240905123316312,/workspace/reports/exp02/exp02_RAW_CP_xgbnative_clim_lodo_fs15.csv,fs15
RAW,CP,xgbnative,noclim,lodo,0.24575467833001635,1.5368743202236164,1.2820306726135708,/workspace/reports/exp02/exp02_RAW_CP_xgbnative_noclim_lodo_fs15.csv,fs15
RAW,TDN_based_ADF,hgb,clim,lodo,0.1978451319904859,3.7328168142373745,2.9935653468497456,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_hgb_clim_lodo_fs15.csv,fs15
RAW,TDN_based_ADF,hgb,noclim,lodo,0.059009966243986856,4.080982617135669,3.4744715778861015,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_hgb_noclim_lodo_fs15.csv,fs15
RAW,TDN_based_ADF,mlp,clim,lodo,-3.7249699,8.102086,6.992279,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_mlp_clim_lodo_fs15.csv,fs15
RAW,TDN_based_ADF,mlp,noclim,lodo,-3.1267543,7.562962,6.0624633,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_mlp_noclim_lodo_fs15.csv,fs15
RAW,TDN_based_ADF,xgbnative,clim,lodo,0.3879509984510851,3.3154364238442557,2.573644712145965,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_xgbnative_clim_lodo_fs15.csv,fs15
RAW,TDN_based_ADF,xgbnative,noclim,lodo,0.343362898066353,3.3662442172666314,2.7417293737978636,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_xgbnative_noclim_lodo_fs15.csv,fs15
