base,variant,target,model,r2,rmse,mae,file
RAW,clim,TDN_based_ADF,gb,0.17910883641839687,3.791716485774579,3.086016911734744,/workspace/reports/exp01_UFMS_RAW_clim_TDN_based_ADF_gb.csv
RAW,clim,TDN_based_ADF,linear,-4.2858776224280115,6.909602956021103,5.994679318561137,/workspace/reports/exp01_UFMS_RAW_clim_TDN_based_ADF_linear.csv
RAW,clim,TDN_based_ADF,mlp,-3.7579505019055404,8.883984855146357,7.953604699253346,/workspace/reports/exp01_UFMS_RAW_clim_TDN_based_ADF_mlp.csv
RAW,clim,TDN_based_ADF,naive,-0.5324151129015978,5.328042627757626,4.470812272399629,/workspace/reports/exp01_UFMS_RAW_clim_TDN_based_ADF_naive.csv
RAW,clim,TDN_based_ADF,ridge,-3.1681036718893067,6.163505791152627,5.320997093445731,/workspace/reports/exp01_UFMS_RAW_clim_TDN_based_ADF_ridge.csv
RAW,clim,TDN_based_ADF,xgb,0.09545823655188114,3.938740267519407,3.197623734229727,/workspace/reports/exp01_UFMS_RAW_clim_TDN_based_ADF_xgb.csv
RAW,noclim,CP,gb,-0.6847289593298049,2.1016284795100444,1.7823920690517028,/workspace/reports/exp01_UFMS_RAW_noclim_CP_gb.csv
RAW,noclim,CP,linear,-2.673387886599011,2.8454945205671858,2.463173097267708,/workspace/reports/exp01_UFMS_RAW_noclim_CP_linear.csv
RAW,noclim,CP,mlp,-0.947177463651136,2.22095088238461,1.947979942473521,/workspace/reports/exp01_UFMS_RAW_noclim_CP_mlp.csv
RAW,noclim,CP,naive,-2.3136413180022397,2.80683499255321,2.375702540505631,/workspace/reports/exp01_UFMS_RAW_noclim_CP_naive.csv
RAW,noclim,CP,ridge,-1.89887083719929,2.5768299618966197,2.2255512137037416,/workspace/reports/exp01_UFMS_RAW_noclim_CP_ridge.csv
RAW,noclim,CP,xgb,-0.6199775054645832,2.063504595323275,1.7659780381409873,/workspace/reports/exp01_UFMS_RAW_noclim_CP_xgb.csv
RAW,noclim,TDN_based_ADF,gb,0.1705788285024782,3.8470358170203185,3.1344925503638437,/workspace/reports/exp01_UFMS_RAW_noclim_TDN_based_ADF_gb.csv
RAW,noclim,TDN_based_ADF,linear,-1.9757483616557143,5.894898127733564,4.975150833223479,/workspace/reports/exp01_UFMS_RAW_noclim_TDN_based_ADF_linear.csv
RAW,noclim,TDN_based_ADF,mlp,-6.321534973902369,9.044340761226334,7.676100062684981,/workspace/reports/exp01_UFMS_RAW_noclim_TDN_based_ADF_mlp.csv
RAW,noclim,TDN_based_ADF,naive,-0.5324151129015978,5.328042627757626,4.470812272399629,/workspace/reports/exp01_UFMS_RAW_noclim_TDN_based_ADF_naive.csv
RAW,noclim,TDN_based_ADF,ridge,-1.4879391640576594,5.407761043652649,4.537220322725826,/workspace/reports/exp01_UFMS_RAW_noclim_TDN_based_ADF_ridge.csv
RAW,noclim,TDN_based_ADF,xgb,0.13060260977860574,3.913811934759151,3.1509424421893146,/workspace/reports/exp01_UFMS_RAW_noclim_TDN_based_ADF_xgb.csv
