base,target,model,r2_with,r2_without,Δr2,rmse_with,rmse_without,Δrmse(+)↓,mae_with,mae_without,Δmae(+)↓
D7,CP,gb,-1.5443554561781572,-1.3106292557353332,-0.233726200442824,2.3951580848602885,2.2721372947689646,-0.12302079009132383,2.0561571556904363,1.910911795525745,-0.14524536016469125
D7,CP,linear,-10.770507287165316,-1.842404812345518,-8.928102474819799,3.668987882928256,2.532896050722501,-1.136091832205755,3.249566787335237,2.0731647572134246,-1.1764020301218125
D7,CP,mlp,-2.040412699004658,-1.2537472726316496,-0.7866654263730084,2.383530533382144,2.2127525551874,-0.17077797819474405,2.075779439194181,1.8594409369950662,-0.21633850219911466
D7,CP,naive,,-2.3461085550501,,,2.738185005231579,,,2.330374297518333,
D7,CP,ridge,-8.410337542461594,-2.705057482813446,-5.705280059648148,3.233490798629108,2.712036220786136,-0.521454577842972,2.878785201591098,2.285938650270765,-0.5928465513203331
D7,CP,xgb,-1.087295659631192,-1.300433987339939,0.21313832770874708,2.201040317051201,2.284160595252527,0.08312027820132561,1.885676540815908,1.9146660126925497,0.028989471876641693
D7,TDN_based_ADF,gb,0.0458480952609313,0.0327308086880484,0.0131172865728829,3.987018667177665,3.911999906328559,-0.07501876084910597,3.204429492670485,3.1547434028451207,-0.04968608982536438
D7,TDN_based_ADF,linear,-15.0389852955797,-1.202254379103895,-13.836730916475805,8.89448018343011,5.760400321669662,-3.1340798617604477,7.988768525680366,4.711526084726865,-3.2772424409535015
D7,TDN_based_ADF,mlp,-5.694529079852933,-1.0045809697532577,-4.689948110099675,9.954847364168058,5.234229000656862,-4.720618363511196,9.343528135724727,4.425864470218543,-4.917663665506184
D7,TDN_based_ADF,naive,,-0.4501775227133862,,,5.206238798949116,,,4.318862277110802,
D7,TDN_based_ADF,ridge,-12.217112771978,-0.934523143014534,-11.282589628963466,8.133295768954161,5.712129914495921,-2.4211658544582404,7.314446429466827,4.789090978821485,-2.5253554506453417
D7,TDN_based_ADF,xgb,0.0355830384928741,0.0712621157968271,-0.035679077303953005,3.9802353507281754,3.7770001733612646,-0.20323517736691077,3.174220394197477,3.0653823739617523,-0.10883802023572464
RAW,CP,gb,-0.7347337854819698,-0.8637415452770115,0.12900775979504175,2.1739674196704857,2.2221995824075984,0.04823216273711273,1.840040301125232,1.885553637198352,0.045513336073119914
RAW,CP,linear,-7.675329831253508,-1.977700801195976,-5.6976290300575325,3.255744470990055,2.8697645731373607,-0.38597989785269426,2.853269460509741,2.3890219005233813,-0.4642475599863598
RAW,CP,mlp,-1.7596783589874532,-1.0022110590476005,-0.7574672999398526,2.3140455488500216,2.2110145612023624,-0.10303098764765917,2.0197312607551354,1.9250945334099747,-0.09463672734516071
RAW,CP,naive,,-2.31364131800224,,,2.8068349925532097,,,2.375702540505631,
RAW,CP,ridge,-6.34771648046793,-1.9495239680003296,-4.3981925124676,2.986593558530897,2.781160901489985,-0.20543265704091196,2.609730710733018,2.3038888892795324,-0.3058418214534857
RAW,CP,xgb,-0.4432857009138506,-1.0107005071241926,0.5674148062103419,2.0612412407932226,2.2504426300127087,0.18920138921948615,1.7303576039949615,1.9109157971768744,0.1805581931819129
RAW,TDN_based_ADF,gb,0.133572852349193,0.0531921541565157,0.08038069819267729,3.896827148045431,4.064929404561261,0.1681022565158301,3.1522709404065266,3.2976103775981094,0.14533943719158282
RAW,TDN_based_ADF,linear,-6.421587704823077,-1.5547563582415924,-4.866831346581485,6.957441765311969,5.754925160241219,-1.20251660507075,5.937722953479855,4.715433235538058,-1.2222897179417966
RAW,TDN_based_ADF,mlp,-2.651050886285011,-4.9837913511290255,2.3327404648440146,7.527879331044168,7.5520704367270355,0.024191105682867864,6.711506147815835,6.695210551572648,-0.016295596243186772
RAW,TDN_based_ADF,naive,,-0.5324151129015978,,,5.328042627757626,,,4.470812272399629,
RAW,TDN_based_ADF,ridge,-5.889045243255539,-0.8261624575794525,-5.062882785676086,6.533027255146953,5.509476374887879,-1.0235508802590738,5.636513079992606,4.579815191570713,-1.0566978884218932
RAW,TDN_based_ADF,xgb,0.0917165003721191,0.0785269181556392,0.013189582216479909,3.9578602814655657,3.9843485599257553,0.02648827846018964,3.24015777405213,3.28564113228118,0.04548335822904992
