base,target,model_from_name,with_climate,source,orig_date_col,fold_date,model,r2,rmse,mae,heldout_date,date
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-2.6286722452530973,4.973415282931404,4.580748768,2023-01-13,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-4.186004067029193,4.711570310831258,4.233007841125003,2023-03-01,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-2.665668183535149,2.825616323348103,2.441676056437821,__mean__,
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,0.1138454320338538,1.6145526254821971,1.2852074888672804,2022-04-06,2022-04-06
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,0.4437274981894026,1.231553672993394,0.953410394962138,2022-04-20,2022-04-20
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,-1.8631766702759585,2.1615823867949864,1.851165362516069,2022-05-18,2022-05-18
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,0.4335130336958669,1.0086152823547654,0.6745996023928609,2022-06-02,2022-06-02
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,-16.847701689930574,5.074816712338188,4.6629046996657495,2022-06-22,2022-06-22
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,0.3406226667368237,1.0190396260621215,0.6518754260873,2022-07-06,2022-07-06
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,0.0783292157834829,1.0910196999551998,1.0085252577669348,2022-08-03,2022-08-03
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,-7.990980482804892,4.106237571128163,3.5111131831247744,2022-08-24,2022-08-24
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,-0.5518293076441536,2.480815843394484,2.0440494389927717,2022-11-03,2022-11-03
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,-1.573716098117293,2.5849855932199928,2.320849992955525,2022-11-29,2022-11-29
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,-0.5792312621582727,1.7866002647034662,1.4794570164604643,2022-12-14,2022-12-14
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,-12.65684788256637,9.64841753144496,9.033178144600406,2023-01-13,2023-01-13
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,0.0347941680519086,2.0326341538176003,1.9049223007542944,2023-03-01,2023-03-01
D5,CP,ridge,0,exp01_D5_CP_ridge.csv,date,,ridge,-3.1245116445389365,2.756990074129964,2.413942946857428,__mean__,__mean__
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-2.25433837741978,3.094060623362748,2.772985603101666,2022-04-06,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,0.2867321542642138,1.3945557188349404,1.0600461499451896,2022-04-20,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-0.345892031021175,1.4820157887083645,1.174184406418122,2022-05-18,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-3.2896273388544763,2.77549446405123,2.608492026079107,2022-06-02,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-370.2905038804753,23.146542786624817,23.051192019034087,2022-06-22,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-0.8346438161774952,1.6998083018270758,1.5794356182853468,2022-07-06,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-7.020609676055551,3.2184619037689357,3.064320583983007,2022-08-03,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-15.62428184114196,5.583570338249459,5.380554824495731,2022-08-24,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-0.4472443596603204,2.395760966641135,2.1000688529481364,2022-11-03,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-0.6586796670349699,2.0751957435266597,1.7534494258534468,2022-11-29,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-10.810530460938011,4.885839876123044,4.654072696185065,2022-12-14,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-9.795817875054668,8.578446119038556,8.107842809516631,2023-01-13,
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,0.0843869930678302,1.979726638020569,1.6207102254382602,2023-03-01,
