base,target,model,source,r2,rmse,mae,file
D7,CP,xgb,clim,0.24243541925343956,1.7300654486050473,1.3720215984553215,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=5__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.20777668060080373,1.734757328567849,1.3751378360666333,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=3__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.2139012665004631,1.7355936843847157,1.3691125112243792,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=3__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.20765700663217265,1.737419281999335,1.3756825343655525,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=3__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.20926774828399397,1.7395050906757565,1.3768087203964283,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=3__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.22383689745825075,1.7397984551214898,1.3842902174910579,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=4__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.2112093768485599,1.740504148671656,1.3763579485124882,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=3__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.22324733262416988,1.7407383581113003,1.3818237269613698,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=4__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.22310145643439294,1.7410230743083652,1.3825664162961382,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=4__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.22522855755361845,1.7415976729143208,1.3823921233077472,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=4__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.2267130867088972,1.7419410353017308,1.3799477624393828,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=4__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.22638398806673726,1.7424845083574152,1.3794457830754514,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=4__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.21695527118496605,1.7426241863781111,1.3799233377901703,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=4__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.20817465217936415,1.7446251680680143,1.3693935293324047,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=3__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.20866496826549166,1.7447738844689131,1.3845584574384944,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=4__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.21220089554154448,1.7447812415754484,1.3809506960861098,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=3__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.2087883289397446,1.745059819079072,1.377660387838398,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=3__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.20517603529301334,1.7452145059798703,1.3788047903818952,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=3__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.21481164187135887,1.745519973143119,1.3812980914642066,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=4__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.20862622450948726,1.7479393439098607,1.3790319148884516,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=3__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.2047090191167086,1.7494188516166358,1.3713322564277253,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=3__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.20240694535449083,1.7507094181827738,1.383363080943502,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=3__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.20576079517712503,1.7513844324629222,1.3797053305288371,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=3__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.21100216563702542,1.7542803996265484,1.3926126474150167,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=4__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.194599998384547,1.7596341524379724,1.4026992605689228,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=4__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.194453486139188,1.7596793075370136,1.4026107454161205,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=4__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.20001064873737215,1.7597173932209547,1.3951766122175617,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=4__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.19436353965383457,1.7599034021562048,1.4028593708879058,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=4__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.18010565863384,1.7601968671655714,1.3906190439756039,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=3__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.20606712629617796,1.760410328572658,1.3955562687982384,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=4__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.20486052038085156,1.7610920531470413,1.3951858668487422,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=4__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.19814213591082735,1.7620635925440573,1.3952654209268984,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=4__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.19817000233916698,1.7620904463455542,1.3948232331002521,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=4__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.19398813396519526,1.7627017503038818,1.3895408800652556,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=3__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.17573836150921637,1.7660380598780172,1.3919150151298612,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=3__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.1894479136047716,1.7684618386764164,1.3913843802025847,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=3__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.1732935239727583,1.7689850669532052,1.3937169466657366,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=3__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=5.csv
D7,CP,xgb,clim,0.18121561801650046,1.771018320437589,1.4006222960896433,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=5__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.18092067280592034,1.7713721619169458,1.4006893909440497,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=5__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.18075910811596332,1.7715663348989188,1.4008498402040397,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=5__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.19717089976832153,1.773076217403395,1.40635339913429,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=5__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.19541209967248158,1.7754176743856722,1.4067830666306205,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=5__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.19532047421050383,1.7757956729842341,1.4071941492334568,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=5__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.20039982758944075,1.7767211516502912,1.4090765711497693,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=5__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.19974414318727626,1.7774485006193637,1.4097096059847598,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=5__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.19961339845372578,1.7776287258128054,1.4097562471025775,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=5__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.19579617120082485,1.7780260977714302,1.4118422302143911,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=4__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.1982528602722906,1.7808743067726596,1.4150110768519173,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=5__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.19404997729498402,1.7810781822722774,1.4110070960446883,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=5__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.1934523792458172,1.7817537001439998,1.4104159789903605,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=5__eta=0.03__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.19193802919706598,1.7826982760089158,1.414365728420007,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=4__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=1.csv
D7,CP,xgb,clim,0.19668220023714894,1.783025734025535,1.414745595759174,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=5__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
