SampleID,mode,has_item,scene_id,scene_datetime,abs_days,used
68,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
68,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
69,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
69,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
70,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
70,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
71,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
71,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
72,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
72,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
73,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
73,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
74,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
74,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
75,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
75,raw,1,HLS.S30.T21KYT.2022238T134721.v2.0,2022-08-26T13:58:21.055990,2,1
76,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
76,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
77,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
77,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
78,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
78,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
79,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
79,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
80,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
80,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
81,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
81,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
82,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
82,raw,1,HLS.S30.T21KYT.2022253T134709.v2.0,2022-09-10T13:58:10.527300,2,1
83,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
83,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
84,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
84,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
85,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
85,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
86,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
86,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
87,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
87,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
88,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
88,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
89,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
89,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
90,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
90,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
91,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
91,raw,1,HLS.S30.T21KYT.2022288T134711.v2.0,2022-10-15T13:58:12.460790,2,0
92,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
92,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
93,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
93,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
94,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
94,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
95,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
95,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
96,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
96,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
97,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
97,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
98,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
98,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
99,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
99,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
100,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
100,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
101,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
101,raw,1,HLS.S30.T21KYT.2022308T134711.v2.0,2022-11-04T13:58:12.616260,1,1
102,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
102,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
103,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
103,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
104,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
104,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
105,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
105,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
106,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
106,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
107,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
107,raw,1,HLS.S30.T21KYT.2022323T134709.v2.0,2022-11-19T13:58:08.175390,3,1
108,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
108,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
109,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
109,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
110,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
110,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
111,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
111,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
112,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
112,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
113,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
113,raw,1,HLS.S30.T21KYT.2022333T134709.v2.0,2022-11-29T13:58:07.117950,0,1
114,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
114,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
115,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
115,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
116,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
116,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
117,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
