Sample,Sub_Sample,Date_std,granule_id,granule_time,cloud_cover
47,2,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
48,1,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
48,2,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
49,1,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
49,2,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
50,1,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
50,2,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
51,1,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
51,2,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
52,1,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
52,2,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
53,1,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
53,2,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
54,1,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
54,2,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
55,1,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
55,2,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
56,1,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
56,2,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
57,1,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
57,2,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
58,1,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
58,2,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
59,1,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
59,2,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
60,1,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
