base,target,model,with_climate_x,r2_without,rmse_without,mae_without,source_without,with_climate_y,r2_with,rmse_with,mae_with,source_with,dR2,dRMSE,dMAE
D7,CP,ridge,0,-2.626769034704595,2.575772543397716,2.2414308464094286,exp01_D7_CP_ridge.csv,1,-12.402833833424426,3.6519071063364574,3.372883532896133,exp01_D7_CP_ridge_clim.csv,-9.77606479871983,-1.0761345629387415,-1.1314526864867043
D7,CP,xgb,0,-1.0505590226647217,2.315346151510366,1.977045294028392,exp01_D7_CP_xgb.csv,1,-0.8373027526104665,2.2160218812472485,1.8571393180402624,exp01_D7_CP_xgb_clim.csv,0.21325627005425518,0.09932427026311741,0.11990597598812958
D7,TDN,gb,0,-0.7340606985836435,5.492947041459681,4.571430442858266,exp01_D7_TDN_gb.csv,1,-0.7046196963374214,5.470984509570687,4.708662673074498,exp01_D7_TDN_gb_clim.csv,0.029441002246222148,0.02196253188899444,-0.13723223021623188
D7,TDN,linear,0,-3.638484290608339,7.068555433043318,5.620376258594797,exp01_D7_TDN_linear.csv,1,-3.638484290608339,7.068555433043318,5.620376258594797,exp01_D7_TDN_linear_clim.csv,0.0,0.0,0.0
D7,TDN,ridge,0,-2.1032785917093477,6.114762421259826,5.098973430655675,exp01_D7_TDN_ridge.csv,1,-6.17108493126223,8.264673585691606,7.176719359425617,exp01_D7_TDN_ridge_clim.csv,-4.067806339552882,-2.1499111644317797,-2.077745928769942
D7,TDN,xgb,0,-0.8533552157917134,5.686836257425793,4.7286674595873865,exp01_D7_TDN_xgb.csv,1,-0.5942959249226136,5.433680897112809,4.614463441229784,exp01_D7_TDN_xgb_clim.csv,0.25905929086909973,0.25315536031298436,0.11420401835760252
RAW,CP,gb,0,-1.4286647728696422,2.5143426937697635,2.143247637888046,exp01_RAW_CP_gb.csv,1,-1.746493649873838,2.556147130698021,2.227681220061041,exp01_RAW_CP_gb_clim.csv,-0.3178288770041957,-0.04180443692825753,-0.0844335821729949
RAW,CP,linear,0,-2.6733878865990115,2.8454945205671853,2.463173097267708,exp01_RAW_CP_linear.csv,1,-16.04107881064836,4.0518459077796525,3.6739887258727166,exp01_RAW_CP_linear_clim.csv,-13.36769092404935,-1.2063513872124672,-1.2108156286050087
RAW,CP,ridge,0,-1.89887083719929,2.57682996189662,2.225551213703742,exp01_RAW_CP_ridge.csv,1,-12.253153787335018,3.4944272679887383,3.164487210529191,exp01_RAW_CP_ridge_clim.csv,-10.354282950135728,-0.9175973060921181,-0.9389359968254487
RAW,CP,xgb,0,-1.3744325835638382,2.5535795683646723,2.186883147880851,exp01_RAW_CP_xgb.csv,1,-0.9655357110672766,2.3361842412186085,2.015852166448649,exp01_RAW_CP_xgb_clim.csv,0.4088968724965616,0.2173953271460638,0.1710309814322022
RAW,TDN,gb,0,-0.2696017929469785,4.739749145912104,3.9995833960484592,exp01_RAW_TDN_gb.csv,1,-0.2939391897337475,4.782215122907276,4.113143240548841,exp01_RAW_TDN_gb_clim.csv,-0.024337396786768994,-0.04246597699517185,-0.11355984450038203
RAW,TDN,linear,0,-1.9757483616557148,5.894898127733562,4.975150833223479,exp01_RAW_TDN_linear.csv,1,-1.9757483616557148,5.894898127733562,4.975150833223479,exp01_RAW_TDN_linear_clim.csv,0.0,0.0,0.0
RAW,TDN,ridge,0,-1.487939164057659,5.407761043652648,4.537220322725825,exp01_RAW_TDN_ridge.csv,1,-3.860163006728635,6.445667725764865,5.643721201234618,exp01_RAW_TDN_ridge_clim.csv,-2.372223842670976,-1.037906682112217,-1.1065008785087924
RAW,TDN,xgb,0,-0.2483505554839453,4.7250272199625485,3.9785823065716426,exp01_RAW_TDN_xgb.csv,1,-0.358715181478308,5.002971676849609,4.287697375005116,exp01_RAW_TDN_xgb_clim.csv,-0.1103646259943627,-0.2779444568870604,-0.3091150684334738
