base,target,source,model,cv,mae_fs15,mae_full,r2_fs15,r2_full,rmse_fs15,rmse_full,Δr2(fs15-full),Δrmse(fs15-full),Δmae(fs15-full)
RAW,CP,clim,hgb,lodo,1.5856014071479945,1.5465654460062688,-0.13854522256697482,-0.0641683747139331,1.845149225210862,1.801987359463876,-0.07437684785304173,-0.043161865746986106,-0.039035961141725695
RAW,CP,clim,mlp,lodo,1.2678133,1.901270310481974,0.30851442,-1.6993857382321107,1.5131696,2.170974045698828,2.0079001582321108,0.6578044456988281,0.6334570104819739
RAW,CP,clim,xgbnative,lodo,1.2240905123316312,1.3094597773727272,0.2964941330577439,0.2210823159742002,1.481566095527175,1.5421853259792075,0.07541181708354372,0.060619230452032546,0.08536926504109599
RAW,CP,noclim,hgb,lodo,1.4818632721187954,1.5410807357849994,-0.056823310508986244,-0.1272384657688787,1.7760619979944698,1.8324260556322451,0.07041515525989246,0.0563640576377753,0.05921746366620395
RAW,CP,noclim,mlp,lodo,1.265591,1.7018142598313435,0.2592338,-0.6441309058133595,1.5651727,2.018073825715295,0.9033647058133596,0.45290112571529506,0.4362232598313436
RAW,CP,noclim,xgbnative,lodo,1.2820306726135708,1.2731842812875311,0.24575467833001635,0.2351345673717454,1.5368743202236164,1.534104432128412,0.01062011095827095,-0.002769888095204287,-0.008846391326039704
RAW,TDN_based_ADF,clim,hgb,lodo,2.9935653468497456,3.420516229970641,0.1978451319904859,0.0177413573544042,3.7328168142373745,4.119794307603398,0.18010377463608168,0.38697749336602305,0.42695088312089524
RAW,TDN_based_ADF,clim,mlp,lodo,6.992279,10.473945786908818,-3.7249699,-8.505572369497427,8.102086,11.681998553372011,4.780602469497428,3.5799125533720115,3.481666786908818
RAW,TDN_based_ADF,clim,xgbnative,lodo,2.573644712145965,2.8130972372441176,0.3879509984510851,0.3289676789429228,3.3154364238442557,3.4683987798491493,0.058983319508162324,0.1529623560048936,0.2394525250981525
RAW,TDN_based_ADF,noclim,hgb,lodo,3.4744715778861015,3.4669636528623147,0.059009966243986856,0.0072001505241095,4.080982617135669,4.170787387177113,0.051809815719877354,0.08980477004144394,-0.007507925023786832
RAW,TDN_based_ADF,noclim,mlp,lodo,6.0624633,15.333801223013054,-3.1267543,-22.66912715413579,7.562962,17.06850772631298,19.54237285413579,9.505545726312981,9.271337923013053
RAW,TDN_based_ADF,noclim,xgbnative,lodo,2.7417293737978636,2.830975761222126,0.343362898066353,0.3444519564420901,3.3662442172666314,3.4475272562210453,-0.0010890583757370842,0.08128303895441391,0.08924638742426216
