SampleID,mode,has_item,in_window,n_scenes_window,scene_datetimes,cloud_frac_median
44,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
44,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
45,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
45,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
46,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
46,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
47,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
47,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
48,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
48,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
49,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
49,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
50,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
50,d7,1,1,1,2022-04-18T13:58:12.453520,0.0
51,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
51,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
52,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
52,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
53,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
53,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
54,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
54,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
55,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
55,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
56,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
56,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
57,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
57,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
58,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
58,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
59,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
59,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
60,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
60,d7,1,1,1,2022-04-03T13:58:05.202310,0.0
61,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
61,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
62,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
62,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
63,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
63,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
64,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
64,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
65,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
65,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
66,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
66,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
67,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
67,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
68,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
68,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
69,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
69,d7,1,1,2,"2022-07-27T13:58:18.121730,2022-08-01T13:58:13.222500",0.0
70,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
70,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
71,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
71,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
72,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
72,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
73,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
73,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
74,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
74,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
75,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
75,d7,1,1,2,"2022-08-26T13:58:21.055990,2022-08-31T13:58:09.533310",0.0
76,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
76,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
77,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
77,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
78,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
