Date,DOY,Sample,Sub-Sample,Lat,Long_,Sample_type,Animals,DM,MM,Biomass,NDF,ADF,CP,TDN_based_ADF,TDN_based_NDF,Satellite_Images_Dates,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDWI,EVI,LAI,DVI,GCI,GEMI,SAVI,TEMP_MAX,TEMP_MIN,RAD_SOL,RAIN,WIND_SPD,EVAPOT,PRES_ATM,HUM_REL,TP_SFC_AVG,Wind_Dir,Dew_Point,Radiative_Dif_AVG,Radiative_Direct_AVG,PPFD,Longwave_Rad_AVG
2022-11-03,307,97,1,-20.446483,-54.83885133,G2,1,32.79036261,10.3950847,2242.0,59.45488514,32.58788786,7.061446936,63.51403535,58.99136741,2022-10-30,1799.0,1809.0,2127.0,2114.0,2899.0,4083.0,4361.0,4174.0,4411.0,4383.0,3792.0,2913.0,0.3276081424936387,0.07546019748872364,0.2675658263887446,0.8500531598744779,2060.0,0.9623883403855196,-4241200.7648863895,0.49137314144867617,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,97,2,-20.446483,-54.83885133,G2,1,32.78922269,10.3881534,2242.0,62.19916873,37.14554722,7.142579579,59.96361871,57.84672672,2022-10-30,1799.0,1809.0,2127.0,2114.0,2899.0,4083.0,4361.0,4174.0,4411.0,4383.0,3792.0,2913.0,0.3276081424936387,0.07546019748872364,0.2675658263887446,0.8500531598744779,2060.0,0.9623883403855196,-4241200.7648863895,0.49137314144867617,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,98,1,-20.44608067,-54.838971,G3,1,27.81679545,7.762338149,3668.333333,68.15681361,39.45251326,6.7873313,58.16649217,55.36179305,2022-10-30,2063.0,1815.0,2172.0,2182.0,2924.0,4166.0,4415.0,4234.0,4500.0,4476.0,3825.0,2893.0,0.31982543640897754,0.08108108108108109,0.26347145469112726,0.8352397230724984,2052.0,0.9493554327808471,-4208322.060758226,0.47970077144860906,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,98,2,-20.44608067,-54.838971,G3,1,27.86682823,7.561393125,3668.333333,71.05416005,39.77845546,6.7873313,57.91258319,54.15330984,2022-10-30,2063.0,1815.0,2172.0,2182.0,2924.0,4166.0,4415.0,4234.0,4500.0,4476.0,3825.0,2893.0,0.31982543640897754,0.08108108108108109,0.26347145469112726,0.8352397230724984,2052.0,0.9493554327808471,-4208322.060758226,0.47970077144860906,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,99,1,-20.44663,-54.83974067,G4,1,43.44059993,9.759260029,3802.0,68.66636854,41.17866045,6.172505598,56.82182351,55.14925768,2022-10-30,2088.0,1992.0,2405.0,2370.0,3097.0,4306.0,4610.0,4466.0,4693.0,4639.0,4024.0,3112.0,0.30661205383265067,0.07674658712859929,0.2599980152823261,0.8226728192914557,2096.0,0.856964656964657,-4390796.872968842,0.4598844437943392,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,99,2,-20.44663,-54.83974067,G4,1,43.33084673,9.561125515,3802.0,68.91290195,41.88532953,6.078251733,56.27132829,55.0464286,2022-10-30,2088.0,1992.0,2405.0,2370.0,3097.0,4306.0,4610.0,4466.0,4693.0,4639.0,4024.0,3112.0,0.30661205383265067,0.07674658712859929,0.2599980152823261,0.8226728192914557,2096.0,0.856964656964657,-4390796.872968842,0.4598844437943392,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,100,1,-20.447129,-54.83919167,S1,0,35.73242172,10.75271652,10196.0,80.03947916,52.55811292,3.839783221,47.95723003,50.40553324,2022-10-30,2069.0,2076.0,2463.0,2479.0,3138.0,4318.0,4654.0,4417.0,4749.0,4532.0,4077.0,3282.0,0.2810324825986079,0.07613868116927261,0.23788948572663088,0.7426841593589505,1938.0,0.7933414535119772,-3753631.883638443,0.4215181613862104,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,100,2,-20.447129,-54.83919167,S1,0,35.65330415,10.65742849,10196.0,79.51389323,51.72158777,3.74861537,48.60888313,50.62475514,2022-10-30,2069.0,2076.0,2463.0,2479.0,3138.0,4318.0,4654.0,4417.0,4749.0,4532.0,4077.0,3282.0,0.2810324825986079,0.07613868116927261,0.23788948572663088,0.7426841593589505,1938.0,0.7933414535119772,-3753631.883638443,0.4215181613862104,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,101,1,-20.44710233,-54.83906333,S2,0,38.46884178,8.513505422,5532.0,77.19368224,50.98778736,4.685130458,49.18051365,51.59251514,2022-10-30,2003.0,2345.0,2571.0,2508.0,3173.0,4271.0,4586.0,4436.0,4611.0,4479.0,4076.0,3217.0,0.27764976958525345,0.06158627834695522,0.2356369040635144,0.7345343189017951,1928.0,0.7253986775573706,-3714986.549995005,0.41644466844265243,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,101,2,-20.44710233,-54.83906333,S2,0,38.39515585,8.439703628,5532.0,76.19158431,50.63862197,4.773529145,49.45251349,52.01049019,2022-10-30,2003.0,2345.0,2571.0,2508.0,3173.0,4271.0,4586.0,4436.0,4611.0,4479.0,4076.0,3217.0,0.27764976958525345,0.06158627834695522,0.2356369040635144,0.7345343189017951,1928.0,0.7253986775573706,-3714986.549995005,0.41644466844265243,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
